HRV.time;HRV.x;HRV.y;HRV.z
1573142488161;10.0115;34.6661;55.3223
1573142488411;10.0481;34.2895;55.6624
1573142488661;10.0854;34.0100;55.9046
1573142488911;9.76683;34.3670;55.8661
1573142489161;9.24163;33.6121;57.1463
1573142489411;8.74563;32.3428;58.9116
1573142489661;8.47631;31.3339;60.1898
1573142489911;8.51309;31.1551;60.3318
1573142490161;8.79302;31.5815;59.6255
1573142490411;9.32540;32.6197;58.0549
1573142490661;10.0681;34.1113;55.8207
1573142490911;11.2039;36.2828;52.5134
1573142491161;12.4684;38.4343;49.0973
1573142491411;13.7960;40.2685;45.9354
1573142491661;15.0228;41.4314;43.5458
1573142491911;15.0849;41.4638;43.4513
1573142492161;15.1534;41.4824;43.3643
1573142492411;14.7116;41.4088;43.8796
1573142492661;14.0024;41.3028;44.6948
1573142492911;13.2297;41.2182;45.5521
1573142493161;13.3920;41.2098;45.3982
1573142493411;14.0037;40.9681;45.0281
1573142493661;14.5654;40.4473;44.9873
1573142493911;14.4049;40.7012;44.8940
1573142494161;14.2616;41.0216;44.7167
1573142494411;14.1699;41.2759;44.5542
1573142494661;14.0817;41.5386;44.3797
1573142494911;14.3341;40.8175;44.8484
1573142495161;14.7337;39.8006;45.4657
1573142495411;15.1473;38.9199;45.9328
1573142495661;15.4643;38.3759;46.1598
1573142495911;15.2515;38.6584;46.0901
1573142496161;15.0384;38.8785;46.0831
1573142496411;14.8353;39.0586;46.1061
1573142496661;14.6502;39.2180;46.1318
1573142496911;14.6610;39.2078;46.1312
1573142497161;14.6702;39.1978;46.1320
1573142497411;14.6781;39.1885;46.1334
1573142497661;14.6848;39.1806;46.1346
1573142497911;14.6907;39.1743;46.1350
1573142498161;14.6958;39.1695;46.1347
1573142498411;14.6275;39.2307;46.1417
1573142498661;14.5760;39.2870;46.1370
1573142498911;14.6516;39.0055;46.3429
1573142499161;14.5953;38.5848;46.8199
1573142499411;14.4401;38.1006;47.4593
1573142499661;14.2411;37.6754;48.0835
1573142499911;13.9898;37.3473;48.6629
1573142500161;13.6406;37.3205;49.0390
1573142500411;13.4151;37.8693;48.7156
1573142500661;13.3447;38.9832;47.6721
1573142500911;13.4218;40.5613;46.0169
1573142501161;13.4488;40.7742;45.7770
1573142501411;13.4970;41.0417;45.4612
1573142501661;13.5485;41.2877;45.1638
1573142501911;13.6120;41.5666;44.8215
1573142502161;13.6690;41.8026;44.5284
1573142502411;13.6655;41.7892;44.5453
1573142502661;13.6630;41.7809;44.5561
1573142502911;13.6615;41.7776;44.5609
1573142503161;13.6607;41.7784;44.5608
1573142503411;13.6605;41.7823;44.5572
1573142503661;13.6589;41.8985;44.4426
1573142503911;13.6564;42.0277;44.3159
1573142504161;13.6566;41.9905;44.3529
1573142504411;13.6549;41.9503;44.3948
1573142504661;13.6077;41.5467;44.8456
1573142504911;13.5138;41.0908;45.3955
1573142505161;13.3763;40.6199;46.0038
1573142505411;13.3960;40.6703;45.9336
1573142505661;13.4165;40.7061;45.8773
1573142505911;13.5094;40.7911;45.6995
1573142506161;13.6073;40.8084;45.5843
1573142506411;13.5069;40.8209;45.6722
1573142506661;13.3748;40.8339;45.7913
1573142506911;13.2129;40.8439;45.9431
1573142507161;13.0265;40.8619;46.1116
1573142507411;12.1208;40.9788;46.9004
1573142507661;11.2346;41.1656;47.5998
1573142507911;10.4019;41.5579;48.0402
1573142508161;9.67386;42.2440;48.0822
1573142508411;9.07376;43.2571;47.6692
1573142508661;8.60451;44.5777;46.8178
1573142508911;8.25815;46.1475;45.5943
1573142509161;7.98508;48.1463;43.8686
1573142509411;7.83228;50.1862;41.9815
1573142509661;7.79175;52.1929;40.0153
1573142509911;7.85835;54.1147;38.0270
1573142510161;8.02746;55.9085;36.0641
1573142510411;8.11712;56.4998;35.3831
1573142510661;8.23751;57.1013;34.6612
1573142510911;8.38102;57.6488;33.9702
1573142511161;8.53728;58.0634;33.3993
1573142511411;8.73680;58.3204;32.9428
1573142511661;8.92981;58.2547;32.8155
1573142511911;9.03061;58.0605;32.9089
1573142512161;9.13158;57.7538;33.1146
1573142512411;9.36776;56.9142;33.7180
1573142512661;9.72337;55.6620;34.6146
1573142512911;10.1293;54.4303;35.4404
1573142513161;10.5971;53.3152;36.0877
1573142513411;11.3214;51.9328;36.7459
1573142513661;12.1010;50.6338;37.2652
1573142513911;13.6507;47.8147;38.5346
1573142514161;14.9555;44.8046;40.2399
1573142514411;15.7971;42.7337;41.4692
1573142514661;16.5945;41.1903;42.2152
1573142514911;17.4407;40.3120;42.2473
1573142515161;18.4801;40.1133;41.4066
1573142515411;18.4326;40.0905;41.4770
1573142515661;18.3658;40.0364;41.5978
1573142515911;18.5966;40.2450;41.1584
1573142516161;18.8508;40.4630;40.6862
1573142516411;19.1093;40.6431;40.2476
1573142516661;19.3555;40.7451;39.8994
1573142516911;19.0500;40.7397;40.2103
1573142517161;19.0741;40.7283;40.1976
1573142517411;19.0961;40.7062;40.1977
1573142517661;19.4483;40.1842;40.3675
1573142517911;19.7917;39.5594;40.6489
1573142518161;20.1405;38.8724;40.9871
1573142518411;20.3536;38.4467;41.1997
1573142518661;20.5732;38.0041;41.4227
1573142518911;20.7922;37.5415;41.6663
1573142519161;20.9188;37.2506;41.8306
1573142519411;20.9288;37.2255;41.8457
1573142519661;20.9382;37.2002;41.8616
1573142519911;20.9472;37.1756;41.8773
1573142520161;21.2269;36.4414;42.3318
1573142520411;21.5038;35.7909;42.7054
1573142520661;23.2916;31.6577;45.0507
1573142520911;24.4300;28.7001;46.8699
1573142521161;25.1227;26.9012;47.9761
1573142521411;25.1677;26.8595;47.9728
1573142521661;25.2392;26.8867;47.8740
1573142521911;25.3020;26.9452;47.7528
1573142522161;25.3783;27.0381;47.5836
1573142522411;25.2832;26.9068;47.8100
1573142522661;25.0322;26.5378;48.4301
1573142522911;24.7849;26.1584;49.0567
1573142523161;24.5598;25.7969;49.6432
1573142523411;24.3739;25.4787;50.1474
1573142523661;24.2413;25.2249;50.5338
1573142523911;23.9728;24.6333;51.3940
1573142524161;23.8824;24.3636;51.7539
1573142524411;23.9812;24.4321;51.5867
1573142524661;24.2613;24.8319;50.9068
1573142524911;24.6905;25.5269;49.7826
1573142525161;25.6437;27.4093;46.9470
1573142525411;26.4212;29.5630;44.0158
1573142525661;26.8469;31.4221;41.7310
1573142525911;26.8023;31.2069;41.9908
1573142526161;26.7403;31.0054;42.2543
1573142526411;26.6619;30.8263;42.5118
1573142526661;26.5687;30.6781;42.7532
1573142526911;26.4979;30.6042;42.8979
1573142527161;26.4219;30.5608;43.0173
1573142527411;26.3423;30.5509;43.1067
1573142527661;25.9205;30.6701;43.4094
1573142527911;25.4502;30.9552;43.5946
1573142528161;24.9430;31.4025;43.6545
1573142528411;24.4734;31.9323;43.5943
1573142528661;23.9912;32.5780;43.4308
1573142528911;23.2761;33.6208;43.1030
1573142529161;22.5259;34.7334;42.7407
1573142529411;21.7703;35.8412;42.3885
1573142529661;21.0050;36.9410;42.0540
1573142529911;20.4037;37.8058;41.7904
1573142530161;19.9580;38.4770;41.5650
1573142530411;19.5479;39.1456;41.3065
1573142530661;19.1757;39.8078;41.0165
1573142530911;18.8894;40.3563;40.7543
1573142531161;18.4335;41.2237;40.3428
1573142531411;17.9817;41.9741;40.0442
1573142531661;17.5187;42.5678;39.9135
1573142531911;17.1094;42.9248;39.9658
1573142532161;16.6879;43.1391;40.1730
1573142532411;16.2613;43.2369;40.5018
1573142532661;16.2046;43.2429;40.5524
1573142532911;16.3260;43.2217;40.4523
1573142533161;16.4308;43.1808;40.3884
1573142533411;16.5487;43.0989;40.3524
1573142533661;16.4703;43.1672;40.3625
1573142533911;16.3886;43.2293;40.3821
1573142534161;16.3736;43.2371;40.3893
1573142534411;16.4789;43.2057;40.3155
1573142534661;16.5944;43.1904;40.2151
1573142534911;16.7195;43.1864;40.0941
1573142535161;16.7195;43.1864;40.0941
1573142535411;16.8635;43.1773;39.9592
1573142535661;17.0051;43.1459;39.8490
1573142535911;17.1413;43.0869;39.7718
1573142536161;16.8831;43.2350;39.8819
1573142536411;16.6132;43.3936;39.9932
1573142536661;16.3303;43.5483;40.1214
1573142536911;16.0351;43.6892;40.2757
1573142537161;15.7075;43.8241;40.4684
1573142537411;15.3789;43.9504;40.6707
1573142537661;15.4286;43.9269;40.6445
1573142537911;15.6166;43.7899;40.5935
1573142538161;15.7775;43.6111;40.6114
1573142538411;15.8624;43.4836;40.6540
1573142538661;15.7418;43.6763;40.5819
1573142538911;15.6166;43.8362;40.5472
1573142539161;15.4791;43.9412;40.5797
1573142539411;15.2759;43.9890;40.7350
1573142539661;15.3021;43.9929;40.7050
1573142539911;15.3295;44.0032;40.6673
1573142540161;15.3573;44.0165;40.6262
1573142540411;15.1088;43.8911;41.0001
1573142540661;14.8649;43.7807;41.3544
1573142540911;14.6320;43.7094;41.6586
1573142541161;14.4129;43.6904;41.8967
1573142541411;14.1600;43.7307;42.1093
1573142541661;13.9177;43.8228;42.2595
1573142541911;12.6155;44.2217;43.1628
1573142542161;11.2742;44.2857;44.4401
1573142542411;10.0910;44.2378;45.6712
1573142542661;9.19755;44.3949;46.4075
1573142542911;8.64898;45.0107;46.3403
1573142543161;8.43837;46.2167;45.3450
1573142543411;8.53668;48.0137;43.4496
1573142543661;8.88019;50.1507;40.9691
1573142543911;9.42265;52.5195;38.0578
1573142544161;10.1234;54.8895;34.9871
1573142544411;10.2212;55.1629;34.6159
1573142544661;10.3437;55.4540;34.2023
1573142544911;10.4764;55.7002;33.8234
1573142545161;10.6146;55.8729;33.5125
1573142545411;10.6581;55.9002;33.4417
1573142545661;10.6192;55.8968;33.4840
1573142545911;10.5792;55.9103;33.5104
