motif_frequency,power
2162.000000,-2.078202
3614.000000,-2.368762
3264.000000,-3.786089
2427.000000,-2.908494
3577.000000,-2.056668
2468.000000,-3.093784
2342.000000,-2.017297
2261.000000,-1.890621
2369.000000,-1.597832
2347.000000,-1.380384
3600.000000,-0.109329
3557.000000,-0.959232
2721.000000,-1.910873
2351.000000,-1.209134
2387.000000,-0.605592
2323.000000,0.773334
3627.000000,0.177120
3676.000000,0.253498
2378.000000,-0.066308
2362.000000,0.052521
3361.000000,0.138089
3246.000000,0.729955
2373.000000,1.891801
2209.000000,1.703650
3182.000000,-0.411007
3109.000000,0.427499
2746.000000,1.911086
2152.000000,1.551229
2374.000000,0.063377
2413.000000,-1.589746
2221.000000,-2.853604
3394.000000,-0.449309
3272.000000,0.574460
3182.000000,2.337819
2402.000000,0.394691
2188.000000,-1.528381
2538.000000,-2.833611
3299.000000,-0.039581
3379.000000,1.224301
3148.000000,2.221733
2325.000000,-1.349047
2298.000000,-3.143664
3517.000000,-0.137115
3902.000000,1.015886
3463.000000,-0.319299
2640.000000,-2.830430
3463.000000,-0.569458
3631.000000,-0.486768
3152.000000,-3.080698
2855.000000,-4.353212
2459.000000,-4.179795
2271.000000,-3.977589
2279.000000,-2.936585
3389.000000,-1.561840
3018.000000,-4.389529
2871.000000,-5.199819
2479.000000,-3.912115
2324.000000,-2.653104
2799.000000,-3.057316
3249.000000,-4.266211
2808.000000,-3.907023
3031.000000,-2.061838
3377.000000,-3.473737
3318.000000,-3.470705
3226.000000,-2.209768
2311.000000,-2.359919
3784.000000,10.322492
3228.000000,11.839614
3099.000000,13.144943
2858.000000,13.389926
2842.000000,12.583619
2580.000000,10.520515
3280.000000,11.562423
3091.000000,12.675388
2995.000000,13.324104
2859.000000,13.035315
2664.000000,11.566503
3112.000000,12.790707
3050.000000,13.225443
2803.000000,13.107216
2753.000000,12.894516
2855.000000,12.514085
2879.000000,12.462349
2918.000000,12.304914
2762.000000,12.248477
3109.000000,11.137297
2830.000000,11.087520
2731.000000,11.301712
2640.000000,9.851521
2479.000000,9.005871
2226.000000,8.885068
2939.000000,9.988212
2599.000000,9.038793
2414.000000,7.775500
2333.000000,7.802458
2222.000000,8.176959
2351.000000,8.832949
2206.000000,7.297838
2212.000000,6.812132
2207.000000,7.677358
2178.000000,9.357631
2211.000000,7.786237
2206.000000,7.413728
2489.000000,10.415046
2252.000000,8.620565
2154.000000,8.179966
2228.000000,8.365597
2216.000000,8.996217
2221.000000,9.632203
4105.000000,10.951646
3768.000000,11.380051
2392.000000,9.447128
2448.000000,9.023247
2027.000000,9.500640
2441.000000,10.692619
4618.000000,11.676794
4425.000000,11.787749
3271.000000,11.058351
2677.000000,10.260610
4688.000000,10.683820
4592.000000,11.154424
4383.000000,11.523219
3681.000000,11.359655
4735.000000,10.233900
4637.000000,10.509451
4489.000000,11.080069
3630.000000,10.809539
2061.000000,9.626083
2204.000000,8.509785
2075.000000,8.584225
4773.000000,9.926575
4643.000000,10.582397
4390.000000,11.248198
2365.000000,9.391406
2142.000000,7.753959
2165.000000,7.357316
4666.000000,10.318983
4533.000000,11.409699
4097.000000,11.227432
2247.000000,7.775079
2191.000000,6.842356
4660.000000,10.623275
4495.000000,11.830441
2877.000000,9.487850
2222.000000,7.230648
4422.000000,9.819006
3240.000000,10.270454
2216.000000,8.133786
2178.000000,6.753230
2199.000000,6.857330
2543.000000,8.339632
2563.000000,9.967028
2368.000000,9.853278
2163.000000,7.796981
2233.000000,7.130158
2698.000000,9.223955
2812.000000,11.345953
2101.000000,9.293390
2642.000000,8.185724
3099.000000,10.583143
2690.000000,12.765297
3288.000000,9.470005
3545.000000,10.747544
3033.000000,12.578522
2290.000000,9.616210
3371.000000,10.294630
3087.000000,11.945438
2846.000000,13.317425
2744.000000,13.618874
3009.000000,12.860167
2842.000000,10.599867
2975.000000,11.372913
2863.000000,12.688450
2825.000000,13.586873
3060.000000,13.376443
2962.000000,11.944265
3032.000000,12.716215
3018.000000,13.381615
2440.000000,13.352842
2631.000000,13.253616
2794.000000,12.977867
3063.000000,12.530701
2901.000000,12.497356
2752.000000,12.555828
2775.000000,10.955401
2748.000000,11.169710
2618.000000,11.700369
2961.000000,10.154695
2812.000000,8.926852
2716.000000,8.009652
2634.000000,9.832616
2684.000000,9.066890
2722.000000,7.857556
2774.000000,7.400891
2800.000000,7.055656
2911.000000,8.701773
2927.000000,7.148607
2897.000000,6.356870
2802.000000,6.436832
3040.000000,9.053109
3036.000000,7.290818
2987.000000,6.581269
3809.000000,9.710985
3274.000000,7.810874
3002.000000,7.028206
3033.000000,6.897831
2846.000000,7.464982
2911.000000,8.109049
4344.000000,10.474855
4215.000000,10.248240
3370.000000,8.393814
3134.000000,7.821431
3044.000000,7.995242
2768.000000,9.292814
4323.000000,10.798669
4152.000000,10.316304
3453.000000,9.827304
3268.000000,9.014456
4103.000000,9.860525
3970.000000,9.951226
4152.000000,10.378945
3662.000000,10.254131
4170.000000,9.459451
4044.000000,9.622044
3730.000000,10.124577
3505.000000,9.737369
3051.000000,8.208123
2691.000000,7.035356
2683.000000,7.716960
4090.000000,9.345168
4072.000000,9.640374
3968.000000,10.088331
3191.000000,8.296672
2780.000000,6.540830
2644.000000,6.390618
4090.000000,9.502110
3980.000000,10.128306
3585.000000,9.902600
2817.000000,7.137013
2512.000000,6.341950
4045.000000,9.741585
3582.000000,10.476878
3301.000000,8.599693
2620.000000,6.930343
3630.000000,9.380154
3130.000000,9.574332
2733.000000,7.772496
2620.000000,6.663630
2502.000000,6.649334
2793.000000,8.092177
2815.000000,9.810530
2946.000000,9.444313
2507.000000,7.560413
2852.000000,7.358645
3003.000000,9.380310
2928.000000,11.433444
3111.000000,8.817677
3287.000000,8.287501
3685.000000,11.022443
3486.000000,13.045608
3735.000000,9.327395
3777.000000,11.164881
3587.000000,12.962095
2771.000000,8.927115
3463.000000,3.672554
2831.000000,5.689447
2389.000000,7.605167
2552.000000,8.249808
2514.000000,7.537854
2196.000000,5.991363
2615.000000,4.617816
2496.000000,6.372149
2488.000000,7.794362
2532.000000,8.044415
2183.000000,6.670334
2427.000000,5.279674
2269.000000,6.864524
2321.000000,6.681299
2518.000000,7.360660
2514.000000,7.400480
2831.000000,5.106773
2564.000000,5.936104
2526.000000,6.499205
2936.000000,3.877772
2664.000000,4.670925
2303.000000,5.731832
2337.000000,4.923348
2301.000000,4.380846
2088.000000,4.757909
2964.000000,3.276632
2667.000000,3.015914
2263.000000,2.616597
2277.000000,3.301035
2307.000000,3.756538
3150.000000,3.178883
2382.000000,1.929718
2189.000000,2.013041
2311.000000,3.285434
2752.000000,4.308948
2125.000000,2.998630
2359.000000,2.815802
2619.000000,5.803254
2538.000000,4.587599
2500.000000,4.131808
2319.000000,3.815754
2456.000000,4.446094
2044.000000,5.845859
3398.000000,5.563645
2957.000000,7.288078
2820.000000,5.927654
2733.000000,5.244925
2618.000000,5.156009
4179.000000,7.016545
3295.000000,6.570819
3250.000000,8.365196
3130.000000,8.169232
3048.000000,6.828689
3971.000000,5.783750
3582.000000,7.731909
4165.000000,8.452099
4331.000000,8.075517
4359.000000,5.302015
4437.000000,6.285299
4333.000000,7.340940
4449.000000,7.646930
3875.000000,6.052517
2299.000000,4.588891
1904.000000,4.902880
4596.000000,4.751668
4410.000000,6.407190
4129.000000,8.414312
2688.000000,6.611121
2382.000000,4.299663
2357.000000,3.703528
3562.000000,5.741437
2616.000000,8.176464
2375.000000,9.566912
2451.000000,5.581249
2331.000000,3.516479
3137.000000,6.210234
2581.000000,8.901588
2460.000000,8.084817
2427.000000,4.573841
3661.000000,5.287953
2749.000000,7.289082
2580.000000,4.846658
2112.000000,3.511636
2205.000000,3.124010
2245.000000,4.025019
2048.000000,5.506882
3824.000000,5.601536
3106.000000,3.501188
2479.000000,2.539904
2483.000000,4.060060
2411.000000,6.178875
4044.000000,3.992397
3501.000000,2.874503
2884.000000,4.494892
2718.000000,6.946595
3770.000000,3.338522
3230.000000,4.385981
2890.000000,6.640937
2048.000000,5.953334
3132.000000,2.722522
2868.000000,5.150884
2808.000000,7.348953
2697.000000,8.006687
2553.000000,7.316582
2212.000000,5.779966
2962.000000,3.973926
2922.000000,5.929655
2640.000000,7.449356
2719.000000,7.733196
2361.000000,6.451791
2526.000000,4.716673
2502.000000,6.405092
2621.000000,6.204268
2490.000000,6.958345
2742.000000,7.140382
2744.000000,4.438403
2634.000000,5.348511
2837.000000,6.096278
2971.000000,3.144354
2892.000000,4.128729
2837.000000,5.420005
2383.000000,4.728249
2093.000000,4.192697
2323.000000,4.428851
3563.000000,2.528159
2863.000000,2.378689
2613.000000,2.354832
2283.000000,3.239390
2359.000000,3.561885
3921.000000,2.446295
2494.000000,1.374419
2334.000000,1.695866
2393.000000,3.091739
3208.000000,3.835240
2173.000000,2.276877
2318.000000,2.306643
3206.000000,5.230585
2480.000000,3.848419
2532.000000,3.338881
2387.000000,3.491547
2412.000000,4.112882
2396.000000,5.371600
3858.000000,5.153953
3359.000000,6.553342
2551.000000,5.209006
2544.000000,4.679533
2462.000000,4.686575
4155.000000,6.412367
3641.000000,6.090603
3143.000000,7.653643
2552.000000,7.427718
2816.000000,6.210227
3942.000000,5.419042
3284.000000,6.984246
3826.000000,7.724351
4282.000000,7.519938
4020.000000,4.891298
4211.000000,5.677132
4470.000000,6.863394
4393.000000,7.204662
3387.000000,5.498871
2334.000000,4.091963
2026.000000,4.579889
4394.000000,4.455788
4184.000000,5.960952
3748.000000,8.088807
2550.000000,6.191928
2429.000000,3.741226
